Student_ID,fWHR_Selfie(a.jpg),fWHR_ID(b.jpg),LogRatio_fWHR (对数变形率),Yaw_Selfie(a.jpg),Yaw_ID(b.jpg),LogRatio_Yaw (对数变形率),Pitch_Selfie(a.jpg),Pitch_ID(b.jpg),LogRatio_Pitch (对数变形率),GRI_Selfie(a.jpg),GRI_ID(b.jpg),LogRatio_GRI (对数变形率),LCI_Selfie(a.jpg),LCI_ID(b.jpg),LogRatio_LCI (对数变形率),AI_Selfie(a.jpg),AI_ID(b.jpg),LogRatio_AI (对数变形率),学生照分数(b),个人照分数(a),POMP_Score,Group,群组标签
1,2.3939025,2.4952416,-0.041460674,0.057144217,0.026047776,0.78564584,1.3452443,1.2721442,0.055871796,0.725904,0.71742743,0.011745934,1.284738041,1.053414469,0.198518075,1.1998198,0.54291666,0.79297084,9,10,0.99999,1,高成效策略群组 (赢家)
2,1.9595314,2.2811024,-0.15195343,0.11300105,0.032952875,1.2323185,0.8911099,1.109159,-0.21888958,0.7333013,0.69171953,0.05837603,1.681601525,1.019157088,0.500770727,2.5790849,0.861051,1.0970361,5,6,0.1999996,0,次佳策略群组 (一般)
3,2.0420997,2.047939,-0.00285538,0.01827533,0.02645464,-0.36987954,1.2246296,1.2624804,-0.030439882,0.6949965,0.7032539,-0.011811236,1.734715026,1.008207934,0.542668717,0.85392046,0.74906987,0.13100576,8,8,0,0,次佳策略群组 (一般)
4,2.299922,2.3059912,-0.002635372,0.086938135,0.0856083,0.015414509,1.559519,1.5999169,-0.02557421,0.73752,0.7641437,-0.035462674,1.133681852,0.983523447,0.142084413,2.261127,2.2661297,-0.002210077,1,7,0.666665926,1,高成效策略群组 (赢家)
5,2.1099646,1.9997915,0.053628284,0.058359917,0.009986508,1.7653943,1.404145,1.3111582,0.06851775,0.7656543,0.7804851,-0.019184818,1.117117117,1.030758715,0.080456217,1.5770625,0.51431984,1.1204739,1,8,0.777776914,1,高成效策略群组 (赢家)
6,2.682927,2.1569595,0.21820873,0.61686337,0.010889729,4.0368276,1.7469283,1.5127506,0.14392938,0.73766994,0.7558059,-0.024288101,1.273394495,1.004043127,0.237651191,17.021658,0.24676278,4.2338142,5,7,0.3999992,0,次佳策略群组 (一般)
7,2.1552565,2.2857728,-0.058794416,0.03509172,0.004278959,2.1042554,1.0346291,1.2827929,-0.21499667,0.7282962,0.7435541,-0.020733675,1.406504065,0.994851995,0.346268541,0.9513102,0.27903152,1.2265155,7,10,0.999996667,1,高成效策略群组 (赢家)
8,2.0807607,2.2074292,-0.059095044,0.005424773,0.001267321,1.4540713,1.1671866,1.3110647,-0.11624329,0.7307176,0.7237991,0.009513164,1.574736842,1.114427861,0.34574703,1.1606659,0.5910578,0.6748354,4,7,0.499999167,1,高成效策略群组 (赢家)
9,2.0544126,2.3103464,-0.117407456,0.026431296,0.00930163,1.0443592,0.9190033,1.25,-0.3076091,0.7202944,0.71735215,0.004093126,1.668822768,1.022106632,0.490252626,0.9107411,0.33834097,0.9902045,5,7,0.3999992,0,次佳策略群组 (一般)
10,2.1099188,2.1412578,-0.014743901,0.07144321,0.007844416,2.209101,0.96786964,1.1123596,-0.13914143,0.7186147,0.7087126,0.013875218,1.546666667,1.340849957,0.142798369,1.8954806,0.33135244,1.7440451,6,8,0.49999875,0,次佳策略群组 (一般)
11,2.314727,2.3697014,-0.023472171,0.02068458,0.03836773,-0.61782825,1.389866,1.4657552,-0.053163316,0.74509597,0.74996656,-0.006515583,0.991839297,1.03133515,-0.039048409,0.6411752,1.064346,-0.50681305,5,8.5,0.6999986,1,高成效策略群组 (赢家)
12,2.1436005,2.2612414,-0.053427104,0.10068995,0.017857933,1.7295982,0.84293,1.3302362,-0.45622787,0.6886958,0.76228285,-0.10151801,1.414767548,1.059876118,0.288813209,2.6419194,0.9510038,1.021743,7,9,0.666664444,1,高成效策略群组 (赢家)
13,2.243371,2.166654,0.034795567,0.020642027,0.015262899,0.3019042,0.978789,1.0549451,-0.07492798,0.7225294,0.7378857,-0.021030806,1.477789816,1.135097493,0.26382906,1.2313476,0.4808574,0.94029367,5,5,0,0,次佳策略群组 (一般)
14,2.2809641,2.3244884,-0.01890178,0.094091944,0.06206988,0.41601154,1.2893189,1.5404015,-0.17792898,0.74448293,0.7623836,-0.02375986,1.17875383,1.045422781,0.120036426,2.5616665,1.3653569,0.6292421,2,5,0.374999531,0,次佳策略群组 (一般)
15,2.2794724,2.2958288,-0.007149924,0.26496494,0.014429392,2.9103303,1.1363231,1.5714287,-0.32418746,0.72795236,0.75735325,-0.039594166,1.206434316,1.04178273,0.146735754,8.281604,0.36002332,3.135623,5,5,0,0,次佳策略群组 (一般)
16,2.369105,2.0988343,0.12113022,0.064092,0.022450002,1.0490289,1.6113505,1.353913,0.17407376,0.6622288,0.74706656,-0.12054314,1.159609121,0.97715736,0.171190558,1.4589245,0.873211,0.5132776,5,8,0.5999988,1,高成效策略群组 (赢家)
17,2.2062783,2.2639515,-0.025804704,0.034755576,0,10.456096,1.084797,1.1427811,-0.052071985,0.67900026,0.6746101,0.006486671,1.124113475,1.065852003,0.053220221,1.677611,0.55280715,1.1101167,10,10,0,0,次佳策略群组 (一般)
18,2.2936177,2.160788,0.059657354,0.22152776,0.015646761,2.650284,1.2768584,1.421891,-0.107584946,0.67758775,0.76321316,-0.118998274,1.022807018,1.530815109,-0.403249519,6.988655,0.5927274,2.4673088,2,10,0.99999875,1,高成效策略群组 (赢家)
19,2.191273,2.220109,-0.013073657,0.023873428,0.000950823,3.223194,1.2463971,1.2705003,-0.019153649,0.7508404,0.74241745,0.011281509,0.952627046,1.051315789,-0.098574312,0.72458786,0.53673524,0.3000981,7,10,0.999996667,1,高成效策略群组 (赢家)
20,2.0124876,2.2091093,-0.0932178,0.095103,0.028288689,1.2124985,0.87491065,1.3754039,-0.45238096,0.68420327,0.7393301,-0.0774895,1.379830349,1.021992238,0.300206659,2.2326481,0.7565249,1.0822082,6,8,0.49999875,0,次佳策略群组 (一般)
21,2.4410224,2.34282,0.041061684,0.021024683,0.031374663,-0.40030354,1.0358924,1.244814,-0.18372288,0.67280173,0.71971357,-0.06740262,1.095853161,1.037279267,0.054932006,1.249465,0.94130826,0.28320003,3,8,0.714284694,1,高成效策略群组 (赢家)
22,1.8687137,2.1818037,-0.15490155,0.026041199,0.04013483,-0.4325647,0.92674255,1.3036227,-0.3412266,0.66615427,0.615183,0.079601504,1.643835616,0.996837445,0.500199868,0.556322,1.2436429,-0.80445296,4,10,0.999998333,1,高成效策略群组 (赢家)
23,2.1944613,2.347329,-0.06734142,0.021781622,0.006478976,1.2125041,1.1051207,1.425652,-0.25467473,0.7213358,0.75357795,-0.043727677,1.184313725,1,0.169163472,0.8767568,0.4989516,0.56372046,4,8,0.666665556,1,高成效策略群组 (赢家)
24,2.2557204,2.2999203,-0.019405095,0.056921437,0.014491952,1.3680786,1.6363639,1.5795455,0.035339426,0.7645626,0.76547587,-0.001193759,1.213463242,1.035410765,0.158680232,1.1471219,0.54860955,0.73762447,7,8,0.333332222,0,次佳策略群组 (一般)
25,2.356748,2.2237651,0.05808103,0.010713616,0.011130388,-0.038163524,1.6339327,1.5233935,0.07004938,0.7389916,0.7428564,-0.005216172,1.073593074,1.01146325,0.059612991,1.0910686,0.9383588,0.15078053,6,9,0.749998125,1,高成效策略群组 (赢家)
26,2.4592319,2.259466,0.08472057,0.009277437,0.034341265,-1.3087623,1.4636004,1.4144237,0.034177236,0.6371941,0.7181276,-0.11957299,1.178662151,1.05105514,0.11458547,0.5247476,0.74578375,-0.35151824,6,8,0.49999875,0,次佳策略群组 (一般)
27,2.144007,2.3575618,-0.09495144,0.02732633,0.013592476,0.69833434,0.95672834,1.3278855,-0.3278236,0.6953806,0.72962654,-0.04807345,0.953076121,1.12125535,-0.162509409,1.1366009,0.7634923,0.39789438,5,7,0.3999992,0,次佳策略群组 (一般)
28,2.8251112,2.2948716,0.20787086,0.057569508,0.044606056,0.25512344,1.8712457,1.3808199,0.30392694,0.6480274,0.6437266,0.006658983,0.94634777,1.039412158,-0.093800476,1.2045463,1.3789012,-0.13518398,8,9,0.4999975,0,次佳策略群组 (一般)
29,2.2983692,2.3334112,-0.015131414,0.013016431,0.010719756,0.1941241,1.4086107,1.5434073,-0.0913886,0.7228519,0.7584361,-0.048054185,0.998363339,0.994673768,0.003702465,1.0113888,0.5426712,0.62257606,7,8,0.333332222,0,次佳策略群组 (一般)
30,2.1933172,2.4669557,-0.11756975,0.079307854,0.07867544,0.008006147,1.1469964,1.4361264,-0.22480275,0.7355218,0.6816906,0.0760043,1.74025974,1.039267016,0.515518706,1.9287637,2.2474756,-0.15292837,2,10,0.99999875,1,高成效策略群组 (赢家)
